params=118.2M  attention=gated  block=2048  micro=16 accum=8 -> 262,144 tok/step  steps=3200
train_tokens=841,431,780  val_tokens=471,605  device=cuda
step   860 | loss 5.7096 | lr 2.69e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step   870 | loss 5.8016 | lr 2.68e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step   880 | loss 5.8292 | lr 2.67e-04 |   1816ms |  144.4k tok/s | mfu 32.8%
step   890 | loss 5.6816 | lr 2.66e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step   900 | loss 5.6644 | lr 2.65e-04 |   1821ms |  143.9k tok/s | mfu 32.7%
step   910 | loss 5.7327 | lr 2.64e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step   920 | loss 5.6683 | lr 2.63e-04 |   1817ms |  144.3k tok/s | mfu 32.8%
step   930 | loss 5.5264 | lr 2.62e-04 |   1816ms |  144.3k tok/s | mfu 32.8%
step   940 | loss 5.7318 | lr 2.61e-04 |   1817ms |  144.3k tok/s | mfu 32.8%
step   950 | loss 5.5379 | lr 2.60e-04 |   1816ms |  144.3k tok/s | mfu 32.8%
step   960 | loss 5.6325 | lr 2.59e-04 |   1817ms |  144.3k tok/s | mfu 32.8%
step   970 | loss 5.6717 | lr 2.58e-04 |   1820ms |  144.1k tok/s | mfu 32.7%
step   980 | loss 5.6765 | lr 2.57e-04 |   1819ms |  144.1k tok/s | mfu 32.7%
step   990 | loss 5.5865 | lr 2.56e-04 |   1822ms |  143.9k tok/s | mfu 32.7%
step  1000 | loss 5.5239 | lr 2.55e-04 |   1819ms |  144.1k tok/s | mfu 32.8%
  [eval] step 1000 val_loss 5.7336
step  1010 | loss 5.4444 | lr 2.54e-04 |   1819ms |  144.1k tok/s | mfu 32.7%
step  1020 | loss 5.5856 | lr 2.53e-04 |   1821ms |  144.0k tok/s | mfu 32.7%
step  1030 | loss 5.6476 | lr 2.52e-04 |   1817ms |  144.3k tok/s | mfu 32.8%
step  1040 | loss 5.6100 | lr 2.51e-04 |   1815ms |  144.5k tok/s | mfu 32.8%
step  1050 | loss 5.4884 | lr 2.50e-04 |   1819ms |  144.1k tok/s | mfu 32.8%
step  1060 | loss 5.6839 | lr 2.49e-04 |   1817ms |  144.3k tok/s | mfu 32.8%
step  1070 | loss 5.5764 | lr 2.48e-04 |   1816ms |  144.4k tok/s | mfu 32.8%
step  1080 | loss 5.3981 | lr 2.47e-04 |   1817ms |  144.3k tok/s | mfu 32.8%
step  1090 | loss 5.4928 | lr 2.45e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  1100 | loss 5.4612 | lr 2.44e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  1110 | loss 5.4358 | lr 2.43e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  1120 | loss 5.4026 | lr 2.42e-04 |   1816ms |  144.4k tok/s | mfu 32.8%
step  1130 | loss 5.5623 | lr 2.41e-04 |   1820ms |  144.0k tok/s | mfu 32.7%
step  1140 | loss 5.4513 | lr 2.40e-04 |   1823ms |  143.8k tok/s | mfu 32.7%
step  1150 | loss 5.4684 | lr 2.39e-04 |   1820ms |  144.1k tok/s | mfu 32.7%
step  1160 | loss 5.4197 | lr 2.37e-04 |   1821ms |  144.0k tok/s | mfu 32.7%
step  1170 | loss 5.4707 | lr 2.36e-04 |   1816ms |  144.3k tok/s | mfu 32.8%
step  1180 | loss 5.3998 | lr 2.35e-04 |   1816ms |  144.4k tok/s | mfu 32.8%
step  1190 | loss 5.3530 | lr 2.34e-04 |   1817ms |  144.3k tok/s | mfu 32.8%
step  1200 | loss 5.3940 | lr 2.32e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  1210 | loss 5.4313 | lr 2.31e-04 |   1816ms |  144.4k tok/s | mfu 32.8%
step  1220 | loss 5.3838 | lr 2.30e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  1230 | loss 5.3302 | lr 2.29e-04 |   1819ms |  144.1k tok/s | mfu 32.8%
step  1240 | loss 5.3328 | lr 2.28e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  1250 | loss 5.4393 | lr 2.26e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
  [eval] step 1250 val_loss 5.5381
step  1260 | loss 5.2840 | lr 2.25e-04 |   1816ms |  144.4k tok/s | mfu 32.8%
step  1270 | loss 5.5490 | lr 2.24e-04 |   1816ms |  144.4k tok/s | mfu 32.8%
step  1280 | loss 5.3867 | lr 2.22e-04 |   1816ms |  144.4k tok/s | mfu 32.8%
step  1290 | loss 5.4797 | lr 2.21e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  1300 | loss 5.3798 | lr 2.20e-04 |   1819ms |  144.1k tok/s | mfu 32.8%
step  1310 | loss 5.3279 | lr 2.19e-04 |   1819ms |  144.2k tok/s | mfu 32.8%
step  1320 | loss 5.3338 | lr 2.17e-04 |   1817ms |  144.3k tok/s | mfu 32.8%
step  1330 | loss 5.2860 | lr 2.16e-04 |   1816ms |  144.3k tok/s | mfu 32.8%
step  1340 | loss 5.3849 | lr 2.15e-04 |   1815ms |  144.5k tok/s | mfu 32.8%
